Space Odysseys,"Aldiss, Brian W.",1974,860078167,Anthologies,,-,-,,a/ALDI1/,,,ALDI1,,,,,A,,,,,,y,,
"Farewell, Fantastic Venus!","Aldiss, Brian W.",1968,356024660,Anthologies,,-,-,,a/ALDI1/,,,ALDI1,,,,,A,,,,,,y,,
Best Fantasy Strories,"Aldiss, Brian W.",?,?,Anthologies,,-,-,,a/ALDI1/,,,ALDI1,,,,,A,,,,,,y,,
Evil Earths,"Aldiss, Brian W.",1976,860078892,Anthologies,,-,-,,a/ALDI1/,,,ALDI1,,,,,A,,,,,,y,,
Galactic Empires,"Aldiss, Brian W.",1976,860079090,Anthologies,,-,-,,a/ALDI1/,,,ALDI1,,,,,A,,,,,,y,,
Nebula Award Stories 2,"Aldiss, Brian W.",?,?,Anthologies,,-,-,,a/ALDI1/,,,ALDI1,,,,,A,,,,,,y,,
SF Omnibus,"Aldiss, Brian W.",?,?,Anthologies,,-,-,,a/ALDI1/,,,ALDI1,,,,,A,,,,,,y,,
Space Opera,"Aldiss, Brian W.",1975,860078477,Anthologies,,-,-,,a/ALDI1/,,,ALDI1,,,,,A,,,,,,y,,
Book of Lonesome Monsters,"Algren, Nelson",?,?,Anthologies,,-,-,,a/ALGR1/,,,ALGR1,,,,,A,,,,,,y,,
Spectrum 1,"Amis, Kingsley",?,?,Anthologies,,-,-,,a/AMIS1/,,,AMIS1,,,,,A,,,,,,y,,
Spectrum 5,"Amis, Kingsley",?,?,Anthologies,,-,-,,a/AMIS1/,,,AMIS1,,,,,A,,,,,,y,,
Spectrum 2,"Amis, Kingsley",?,?,Anthologies,,-,-,,a/AMIS1/,,,AMIS1,,,,,A,,,,,,y,,
Spectrum 2,"Amis, Kingsley",?,?,Anthologies,,-,-,,a/AMIS1/,,,AMIS1,,,,,A,,,,,,y,,
Spectrum 4,"Amis, Kingsley",?,?,Anthologies,,-,-,,a/AMIS1/,,,AMIS1,,,,,A,,,,,,y,,
Spectrum 4,"Amis, Kingsley",?,?,Anthologies,,-,-,,a/AMIS1/,,,AMIS1,,,,,A,,,,,,y,,
Spectrum 3,"Amis, Kingsley & Conquest, Robert",1971,330201131,Anthologies,,-,-,,a/AMIS1/,,,AMIS1,,,,,A,,,,,,y,,
Nebula Award Stories 4,"Anderson, Poul",?,?,Anthologies,,-,-,,a/ANDE4/,,,ANDE4,,,,,A,,,,,,y,,
Time Untamed,"Asimov, Isaac",?,?,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,-,,
Time Untamed,"Asimov, Isaac",?,?,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,-,,
"Where Do We Go from Here?, Book 1","Asimov, Isaac",1974,722112513,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,y,,
"Where Do We Go from Here?, Book 2","Asimov, Isaac",,722112467,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,y,,
The Hugo Winners,"Asimov, Isaac",?,?,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,-,,
The Hugo Winners 1963-1967,"Asimov, Isaac",?,?,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,-,,
The Hugo Winners 1968-1970,"Asimov, Isaac",?,?,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,-,,
"Before the Golden Age: A Science Fiction Anthology of the 1930's, Volume 2","Asimov, Isaac",,860078248,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,y,,
100 Great Science Fiction Short Short Stories,"Asimov, Isaac",1980,033026155x,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,y,,
100 Great Fantasy Short Stories,"Asimov, Isaac",1984,9780860000000,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,y,,
100 Great Fantasy Short Stories,"Asimov, Isaac",1984,860513017,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,y,,
"The Hugo Winners, Volume 2 (1968-1970)","Asimov, Isaac",1973,722112505,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,y,,
"Unnatural Diplomacy, Volume 3","Asimov, Isaac {???}",1992,380757532,Anthologies,,-,-,,a/ASIM1/,,,ASIM1,,,,,A,,,,,,y,,
Shadows of Sanctuary,"Asprin, Robert",,9780140000000,Anthologies,,-,-,,a/ASPR1/,,,ASPR1,,,,,A,,,,,,y,,
Thieves' World,"Asprin, Robert",,140069844,Anthologies,,-,-,,a/ASPR1/,,,ASPR1,,,,,A,,,,,,y,,
Blood Ties,"Asprin, Robert",1985,9781850000000,Anthologies,,-,-,,a/ASPR1/,,,ASPR1,,,,,A,,,,,,y,,
The Face of Chaos,"Asprin, Robert & Abbey, Lynn",,9780140000000,Anthologies,,-,-,,a/ASPR1/,,,ASPR1,,,,,A,,,,,,y,,
"New Destinies, Volume 4","Baen, James",1988,067165408x,Anthologies,,-,-,,a/BAEN1/,,,BAEN1,,,,,B,,,,,,y,,
"The Best From If, Vol. III","Baen, James",1976,4261544150,Anthologies,,(*dup?) [??],-,,a/BAEN1/,,,BAEN1,,,,,B,,,,,,y,,
New Worlds Eight,"Bailey, Hilary",?,?,Anthologies,,-,-,,a/BAIL1/,,,BAIL1,,,,,B,,,,,,-,,
New Worlds Nine,"Bailey, Hilary",?,?,Anthologies,,-,-,,a/BAIL1/,,,BAIL1,,,,,B,,,,,,-,,
Digital Dreams,"Barrett, David V.",1990,9780450000000,Anthologies,,-,-,,a/BARR2/,,,BARR2,,,,,B,,,,,,y,,
Peter S. Beagle's Immortal Unicorn,"Beagle, Peter S.",1998,61054801,Anthologies,,-,-,,a/BEAG1/,,,BEAG1,,,,,B,,,,y,,y,,
New Legends,"Bear, Greg",1996,9780100000000,Anthologies,,-,-,,a/BEAR3/,,,BEAR3,,,,,B,,,,,,y,,
Vortex: New Soviet Science Fiction,"Bearne, C. G.",1971,330027050,Anthologies,,-,-,,a/BEAR4/,,,BEAR4,,,,,B,,,,,,y,,
The Unknown,"Benson, D. R.",?,?,Anthologies,,-,-,,a/BENS1/,,,BENS1,,,,,B,,,,,,-,,
The Unknown Five,"Benson, D. R.",?,?,Anthologies,,-,-,,a/BENS1/,,,BENS1,,,,,B,,,,,,-,,
Nebula Award Stories 5,"Blish, James",?,?,Anthologies,,-,-,,a/BLIS1/,,,BLIS1,,,,,B,,,,,,-,,
S.F. Horizons 1,"Boardman, Tom",?,?,Anthologies,,-,-,,a/BOAR1/,,,BOAR1,,,,,B,,,,,,-,,
SF Reprise 3,"Bonfiglioli, Kyril",?,?,Anthologies,,-,-,,a/BONF1/,,,BONF1,,,,,B,,,,,,-,,
The Best from Fantasy and Science Fiction Eighth Series,"Boucher, Anthony",?,?,Anthologies,,-,-,,a/BOUC1/,,,BOUC1,,,,,B,,,,,,-,,
The Best from Fantasy and Science Fiction Seventh Series,"Boucher, Anthony",?,?,Anthologies,,-,-,,a/BOUC1/,,,BOUC1,,,,,B,,,,,,-,,
The Best from Fantasy and Science Fiction Sixth Series,"Boucher, Anthony",?,?,Anthologies,,-,-,,a/BOUC1/,,,BOUC1,,,,,B,,,,,,-,,
The Best from Fantasy and Science Fiction Third Series,"Boucher, Anthony",?,?,Anthologies,,-,-,,a/BOUC1/,,,BOUC1,,,,,B,,,,,,-,,
The Best from Fantasy and Science Fiction: 8th Series,"Boucher, Anthony",?,?,Anthologies,,(*dup?),-,,a/BOUC1/,,,BOUC1,,,,,B,,,,,,-,,
"Science Fiction Hall of Fame: The Novellas, Book 1","Bova, Ben",1975,722118058,Anthologies,,-,-,,a/BOVA1/,,,BOVA1,,,,,B,,,,,,y,,
"Science Fiction Hall of Fame: The Novellas, Book 2","Bova, Ben",1975,722118023,Anthologies,,-,-,,a/BOVA1/,,,BOVA1,,,,,B,,,,,,y,,
The Fantastic Imagination: An Anthology of High Fantasy,"Boyer, Robert H.",1977,380009560,Anthologies,,-,-,,a/BOYE2/,,,BOYE2,,,,,B,,,,,,y,,
The Fantastic Imagination: An Anthology of High Fantasy,"Boyer, Robert H.",1977,380009560,Anthologies,,-,-,,a/BOYE2/,,,BOYE2,,,,,B,,,,,,y,,
The Fantastic Imagination,"Boyer, Robert H. & Zahorski, Kenneth ",1978,038041533x,Anthologies,,-,-,,a/BOYE2/,,,BOYE2,,,,,B,,,,,,y,,
Far Travellers,"Brown, Charles N.",?,?,Anthologies,,-,-,,a/BROW1/,,,BROW1,,,,,B,,,,,,-,,
New Writings in Science Fiction (No. 27),"Bulmer, H. Kenneth",,552103888,Anthologies,,-,-,,a/BULM1/,,,BULM1,,,,,B,,,,,,y,,
"New Writings in SF, Volume 22","Bulmer, H. Kenneth",1972,552094927,Anthologies,,-,-,,a/BULM1/,,,BULM1,,,,,B,,,,,,y,,
"New Writings in SF, Volume 22","Bulmer, H. Kenneth",1972,552094927,Anthologies,,-,-,,a/BULM1/,,,BULM1,,,,,B,,,,,,y,,
Analog 3,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
Analog 3,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
Analog 1,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
Analog 4,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
Analog 5,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
Analog 6,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
Analog 7,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
Analog 8,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
Analog Anthology,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
The First Astounding Science Fiction Anthology,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
Prologue to Analog,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
Prologue to Analog,"Campbell, John W.",?,?,Anthologies,,-,-,,a/CAMP2/,,,CAMP2,,,,,C,,,,,,-,,
Gateway to Tomorrow,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
Lambda 1 and Other Stories,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 1,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 11,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 12,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 14,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 17,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 18,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 7,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 8,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
No Place Like Earth,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
The Best from New Writings in Science Fiction,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
Weird Shadows from Beyond,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 19,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 19,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 19,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 10,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 10,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 13,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 13,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 15,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 15,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 16,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 16,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 2,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 2,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 20,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 20,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 21,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 21,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
New Writings in Science Fiction 3,"Carnell, John",?,?,Anthologies,,-,-,,a/CARN1/,,,CARN1,,,,,C,,,,,,-,,
